title,text,label
COVID-19,"No, this video does not show an Indian millionaire celebrating Narenda Modi's re-election by giving away $100,000",fake
COVID-19,Cocaine is not a cure for COVID-19!,fake
VIOLENCE,Delhi Police Officer As RSS Worker And Other News You Almost Believed,fake
POLITICS,This is no fringe. TV channelsâ attempt at camouflage,fake
VIOLENCE,"Why Claims Of US, Canada GDP Falling More Than India Are Misleading",fake
TERROR,Media commenting on court cases: Attorney General,real
POLITICS,"Ex-PM Manmohan Singh turns 88, wishes pour in",real
COVID-19,IndiaÛªs Covid-19 cases approaches close to 64-lakh while death toll nears 1-lakh mark,real
MISLEADING,False: Harvard Professor Arrested For Manufacturing Novel Coronavirus,fake
TRAD,Opposition will see strength of ï¿½NDA+ï¿½ during no-confidence vote: BJP,real
ELECTION,Sex scandal has Karnataka BJP & Congress on edge ahead of bypolls,real
GOVERNMENT,Alok Verma did not say that Modi is the Ômost corrupt...,fake
GOVERNMENT,LAC row: 8th round of Corps Commander talks likely this week,real
MISLEADING,"Fact Check: No, Rishi Kapoorâs video was not shot a day before his death",fake
ELECTION,"Indian Army boosted countrys morale during LAC standoff, says Rajnath Singh",real
VIOLENCE,"Fact Check: Video showing Pak, Chinese soldiers dancing after martyrdom of 20 Indian soldiers is old one",fake
POLITICS,"To stop water to Pakistan, Modi tells Indians to buy plastic tanks",real
VIOLENCE,This man is not suffering from a heart ailment; hereÕs the...,fake
POLITICS,"Fact Check: Did US VP-elect Kamala Harris start her term with....Fact Check: No, Deepika did not appear before NCB in a t-shirt with pro-farmer message",fake
GOVERNMENT,PDP to hold sacred AoA recitation for 40 days for Muftiâs eternal peace,real
VIOLENCE,"No, this video does not show members of an Indian Hindu nationalist group torturing Muslim women.No, this video does not show workers from Indias ruling party attacking a Muslim",fake
GOVERNMENT,Fact Checked: DonÕt believe this picture of Kapil Sibal; itÕs photoshopped,fake
COVID-19,Anant Singh to Sanjiv Chaurasia ? How musclemen with criminal records are faring in Bihar,fake
MISLEADING,The Ministry of Tourism has NOT issued any order of closing down restaurants till October.Delhi Government Announces Subsidy On Boats,fake
COVID-19,Fact Check: China is NOT sending clothes of dead Coronavirus patients...,fake
MISLEADING,"Did this photographer cry after Dhoniâs run out? No, old image of Iraqi photographer viral",fake
VIOLENCE,Old video from Rajasthan shared as Muslims chanting slogans of Islamic supremacy amid Delhi polls,fake
MISLEADING,Fact Check: Was this woman beaten up on the pretext of...,fake
GOVERNMENT,Old video of ex-defence ministerâs wife performing puja on INS Vikrant shared as âbaptismâ,fake
GOVERNMENT,"Home Minister meets CMs of Naxal hit states, reviews security",real
VIOLENCE,Fact Check: Image of injured Syrian child passed off as victim of Delhi violence.Fact Check: Old image of injured mother and child from Gaza passed off as brutality in Kashmir,fake
ELECTION,Sachin Pilot camp releases video of Rajasthan MLAs supporting him; Congress invites for meeting,real
ELECTION,"Former PDP, NC leaders launch Apni Party in Jammu and Kashmir, BJP welcomes move",real
GOVERNMENT,PM Modi says govt continuously trying to resolve farmers issues through talks,real
VIOLENCE,"UP govt opposes bail for journalist Kappan in top court, points to ÔSIMI linksÕ",real
GOVERNMENT,DonÕt believe this FAKE picture of PM Modi,fake
POLITICS,2015 Republic Day Indo-Pak Gesture Viral As Recent,fake
ELECTION,TDP leader Chintamaneni arrested amidst high drama politics,real
TERROR,ÔTukde-tukde gangÕ turning farmersÕ protest into Shaheen Bagh: BJPÕs Manoj Tiwari,real
VIOLENCE,Kannada film actress Ragini Dwivedi arrested in Sandalwood drug scandal,real
ELECTION,"Rahul Û÷obsessedÛª with BJP, leaders who wrote letter Û÷moreÛª committed than him to Congress: BJP leaders",real
COVID-19,Punjab CM writes to Centre requesting COVID-19 testing capacity enhancement,real
POLITICS,"Airlines must allot seats, try to keep middle space vacant: DGCA after SCs common sense rap",real
GOVERNMENT,This poster against PM Modi was not used in AMU; heres...,fake
ELECTION,"JD(U) divided: Prashant Kishor, Pavan Varma speak out against support to citizenship bill",real
GOVERNMENT,Punjab CM writes to Nadda over suspension of goods trains,real
GOVERNMENT,DonÕt believe this FAKE picture of Deepika Padukone being injured,fake
TERROR,ED attaches MallyaÕs France property worth Rs 14 crore under PMLA,real
ELECTION,Fact Check: Iconic Mughal Gardens renamed as Rajendra Prasad Garden? Heres...,fake
ELECTION,"Rahul Gandhi attacks govt on state of economy, unemployment",real
COVID-19,"Centre contemplating sending high-level teams to states, UTs reporting rise in Covid cases",real
COVID-19,Explainer: The US Presidential Debates ? History & Format,fake
VIOLENCE,Old picture of AR RahmanÕs daughter shared with misleading claims,fake
ELECTION,BJP MLA who Ôgot callÕ from Lalu Prasad lodges FIR,real
GOVERNMENT,ItÕs not Tukaram Omble in viral 26/11 image but actor who played him in film,fake
COVID-19,"PM congratulates ISRO, space industry for successful launch of PSLV-C49",real
MISLEADING,Fact Check: Viral UNICEF Advisory On Coronavirus Is Fake.Fact Check: This viral advisory on coronavirus has not been issued by the health ministry,fake
ELECTION,"Some BJP MLAs camp in Delhi, seek removal of Tripura CM",real
COVID-19,Coronavirus outbreak | 34 cases in India as 3 more test positive; PM Modi holds review meet,real
MISLEADING,Chhatrapati Shivaji Maharaj On $100 Bill?.Fact Check: Bhajan kirtans part of Ram Navami processions in Srinagar since 2007,fake
TRAD,"Anand Mahindra, Rathin Roy join chorus against Pragya Thakurï¿½s ï¿½Godse is a patriotï¿½ remark",real
VIOLENCE,Sedition case against Vinod Dua: SC reserves order on quashing of FIR,real
POLITICS,"No, this photo does not show an Indian soldier on duty in the desert of Rajasthan..No, this photo does not show Indian soldiers resting next to a tank",fake
MISLEADING,Fact Check: Viral post appealing for Facebook shares for âCovid-19 patientâ is fictitious,fake
ELECTION,"Congress MP Adhir Ranjan Chowdhurys office vandalised by 4 unidentified men, staff abused",real
VIOLENCE,Fact Check: Old Video Of People Meeting Rajnath Singh Shared With Claim Of Them Demanding Repeal Of...,fake
POLITICS,Donï¿½t believe this picture of a JNU student with a FAKE...,fake
GOVERNMENT,10 central trade unions to support nation-wide farmers protest on Friday,real
COVID-19,Fact Check: Old video of PM Modi offering sweets to soldiers...,fake
POLITICS,"No, the Reserve Bank of India Governor has not publicly blamed Prime Minister Narendra Modi for his recent resignation.Fake News Claims Raghuram Rajan Appointed Governor Of Bank Of England",fake
VIOLENCE,Centre sends 10 more NDRF teams to West Bengal,real
VIOLENCE,More than half of Mumbai's slum residents might have had Covid-19. Here's why herd immunity could still be a long way off,real
POLITICS,BJP sends Mamata Banerjee a message with Nadda launching Bengal poll campaign on her turf,fake
COVID-19,COVID-19 | Top 10 Global Developments This Wednesday Morning,real
VIOLENCE,Forced to perform last rites: Rape victimÕs kin,real
VIOLENCE,Old video viral as âcommunistsâ in Kerala attack pro-CAA rally by BJP-RSS,fake
ELECTION,"Co-WIN isnt fashion but a necessity, says RS Sharma, ex-TRAI chief in charge of vaccine app",real
POLITICS,Fact Check: Did Hindu Terrorists attack Muslims with bow and arrows in Bihars Kishanganj?.Fact Check: Pakistan minister tries to pass off lathicharge on Ram Rahim supporters as atrocities in Kashmir,fake
COVID-19,Fact Check: Kerala didnt bring in new law saying temples can be controlled by non-Hindus,fake
VIOLENCE,Old video of PM ModiÕs mock funeral staged in Tamil Nadu shared as Haryana,fake
COVID-19,3 civilians killed in shelling by Pakistani troops in J-KÕs Kupwara district,real
COVID-19,"COVID-19: 4 new deaths, 43 fresh infections in UP, tally nears 4,000",real
GOVERNMENT,Dont believe this FAKE picture of Delhi CM Arvind Kejriwal,fake
COVID-19,Navreh or Nauroz? Was Priyanka Gandhi wrongly trolled for her new year greeting?,fake
GOVERNMENT,"BJP govt should immediately withdraw ï¿½anti-peopleï¿½ farm laws or step down, says Mamata",real
VIOLENCE,Did a BJP worker get attacked with a mortar in his chest at West-Bengal? Fact Check!,fake
VIOLENCE,19-year-old son of Mumbai hotelier dies after his speeding car rams into stationary bus,real
COVID-19,2 BSF personnel die of COVID-19; 41 news cases reported,real
GOVERNMENT,This woman and kid with PM Modi are NOT IAF pilot....Bengaluru's Modi Masjid Named After PM Modi And Other News You Almost...,fake
MISLEADING,Fact Check: Fake 'TIME...to go' Cover Featuring Donald Trump Goes Viral,fake
GOVERNMENT,Gang of teens robbing delivery boys after placing fake online orders arrested,fake
VIOLENCE,"Punjabs high Covid-19 death rate triggers political mudslinging, Badal alleges negligence",real
POLITICS,Fact Check: Did Air Commodore Hilal Ahmed Pilot Rafale To India?.Fact Check: Did PM Modi send his chopper to ferry Dera chief Ram Rahim?,fake
ELECTION,"Microsoft introduces Hindi, Indian English to Neural Text-to-Speech service",real
ELECTION,Congress leader Digivijay Singh appeals to farm law-protesters to join chakka jam,real
COVID-19,Fact Check: Is Mukesh Ambani Donating Rs 500 Crore For Construction Of Ram temple In Ayodhya?. Fact Check: Is Mukesh Ambani Donating Rs 500 Crore For Construction Of ...,fake
GOVERNMENT,2018âs top 10 fake news: From âPak zindabadâ to post claiming Congress most âcorrupt partyâ,fake
VIOLENCE,Did Owaisi write to the UN saying Muslims are not safe...,fake
POLITICS,"BJP will scale new heights under JP Naddas presidency, says PM Modi",real
MISLEADING,Fact Check: Fake news about DCPs death in Delhi violence goes viral,fake
TERROR,Rajya Sabha approves amendments to insolvency & bankruptcy code,real
ELECTION,"After 50 years in politics, Sharad Pawar hangs up his boots  for now",real
GOVERNMENT,"No, this is not a photo of Kangana Ranaut with Abu SalemÕs brother",fake
VIOLENCE,FIR against PNB ex-official for graft,real
GOVERNMENT,FarmersÕ protest: Support pours in from foreign shores,real
POLITICS,PeopleÛªs President Pranab Mukherjee is no more,real
POLITICS,"No, this photo does not show an Indian politician getting a university degree",fake
POLITICS,India kick starts two-day naval drill with Russia in eastern Indian Ocean,real
VIOLENCE,"Those doubting Bharat Biotechs efficacy mentally challenged, says Union minister Pradhan",real
ELECTION,ï¿½Nothing to do with Jinnah ideologyï¿½ ï¿½ Congress defends its Bihar candidate Maskoor Usmaniï¿½,real
VIOLENCE,Fact Check: Old Video From 2008 Shared As Israeli Forces Firing...,fake
VIOLENCE,"YSR Congress leader Vivekananda Reddy found dead, family demands probe",real
COVID-19,"Second Covid wave could hit Karnataka in January, experts warn",real
POLITICS,Modi Exposes Worrying Data On Bengal Schools,fake
GOVERNMENT,Tiger kills 21-year-old tribal man in Telangana,real
COVID-19,Are COVID-19 patients? dead bodies being disposed off in the Ganges....Are Covid-19 dead bodies being thrown into the Ganga?,fake
GOVERNMENT,HC permits minor rape victim to terminate 25-week pregnancy,real
VIOLENCE,A father tracked down and tortured his daughterÕs rapist? HereÕs the...,fake
COVID-19,Army commanders to meet again over LAC,real
GOVERNMENT,Electricity employees and engineers protest against amendment bill,real
COVID-19,"75% of Modi govts new fertiliser subsidy grant of Rs 65,000 cr will only clear past dues",real
ELECTION,Rajasthan imbroglio: BJP plays Û÷wait and watchÛª in what appears to be a Û÷win-win situation' either way,real
ELECTION,FIR against Union Minister Shekhawat in Rajasthan audio clip case,real
VIOLENCE,Video Of Drunken Brawl At A Racecourse Being Shared As A Fight At The...,fake
COVID-19,Is the claim about the green strip position on a Rs 500 currency note true? Fact Check!. Fact Check: Whether Price Hike Rollback Of JNU Is Indeed A Major One?,fake
POLITICS,"Mehbooba re-elected PDP chief, stresses on dialogue, reconciliation",real
POLITICS,Fact Check: Who's this man putting his foot on a Hindu idol?,fake
COVID-19,"Fact Check: No, US President Donald Trump is not being treated for coronavirus.Fact Check: No, Brazilian President Jair Bolsonaro Has Not Tested Positive For Coronavirus",fake
ELECTION,"Ashok Tanwar resigns from Congress, says cant blame rivals for crisis in party",real
ELECTION,"Opposition parties stand with Congress, demand a return to ballot paper at EC meet",real
GOVERNMENT,PM Modi is NOT with Anna Hazare but late RSS leader Lakshmanrao Inamdar in this photo,fake
POLITICS,Postage stamp on GujralÕs 101st birth anniversary,real
COVID-19,India prepared for worst possible scenario: Health minister Harsh Vardhan on Coronavirus crisis,real
TERROR,"India & China in close communication to ensure complete disengagement along LAC, says MEA",real
VIOLENCE,Fact Check: Old Photos Revived To Claim Police Brutality During Recent Protests Against Unemployment ...,fake
POLITICS,"Piyush Goyal gets additional charge of Ministry of Consumer Affairs, Food and Public Distribution",real
MISLEADING,Disaster Management Act Does Not Restrict News Reports On COVID-19,fake
GOVERNMENT,UP govt allows sale of high-end liquor brands in shopping malls,real
ELECTION,Don't put off planning for a relative's medical crisis,real
COVID-19,Truth about âstingâ claiming Shaheen Bagh women were paid Rs 500: Alt News-Newslaundry joint investigation,fake
VIOLENCE,"MP farmer hangs self, kin cite debt, cops begin probe",real
MISLEADING,Fact Check: Do these 5 videos prove that BJP manipulated EVMs to win more than 300 seatsâ¦?,fake
ELECTION,"Kamal Naths ready to rest remark sets off retirement rumour, BJP says high time he retires",real
ELECTION,Maharashtra BJP opposing MVA govtÕs every move for sake of it: Sena MP Raut,real
VIOLENCE,"Baijayant ï¿½Jayï¿½ Panda, who quit BJD amid anti-party allegations, joins BJP",real
TRAD,Fact Check: Sushant's death gets a Dawood link on social mediaï¿½,fake
MISLEADING,Shiva idol in Maharashtra vandalised by Muslims? Initial probe says damage by lightning strike,fake
VIOLENCE,Fake: Old image of India-China soldiers being passed of as clashes in Ladakh,fake
VIOLENCE,CAA Clash: Fresh Violence Breaks Out In Delhi; More Police Deployed,real
COVID-19,Fact Check: This viral video of mass graves is not from Italy but from a TV series. Fact Check: Still from TV series goes viral as docs dying of coronavirus in Italy,fake
COVID-19,"No lockdown plan in Delhi, may impose restrictions in marketplaces to prevent COVID-19 spread: Sisodia",real
GOVERNMENT,Fact-check: Did Supreme Court change its motto to ?Yato Dharmastato Jai? from ?Satyamev Jayate? ?,fake
COVID-19,Fact Check: Ballet performance by Chinese couple goes viral with wrong claim,fake
ELECTION,"Battling defections in MP, Congress makes troubleshooter DK Shivakumar its Karnataka chief",real
MISLEADING,Fake: These guidelines on COVID-19 protocols are not issued by the ICMR,fake
GOVERNMENT,Did Mandsaur school students chant slogans of Pakistan Zindabad while leaving the school? Here is the truth..Did BJP leader Sasikala enter Sabarimala temple at the age of 49? Heres the truth,fake
ELECTION,RSS in Modi govt in numbers  3 of 4 ministers are rooted in the Sangh,real
GOVERNMENT,Fact Check: Did CM Kejriwal Offer Namaz At Jama Masjid On.... Did PM Modi applaud Sambit Patra when he said ?Mandir wahin...,fake
COVID-19,Applying for emergency use of AstraZeneca Covid-19 vaccine in two weeks: Serum Institute of India,real
GOVERNMENT,Fake Indian birth certificates in documents seized in S Africa,fake
VIOLENCE,Case Of Mistaken Identity: Unrelated Video Shared As Doctor Giving Medical Advice Amid COVID-19...,fake
MISLEADING,Fact Check: Are Delhi Public Schools Selling Face Masks At Rs 400 Per...,fake
GOVERNMENT,Anmol Narang becomes first observant Sikh to graduate from US Military Academy,real
MISLEADING,Two-year-old Times Now clip with fake ISIS Ôrate cardÕ for non-muslim girls resurfaces,fake
TRAD,"Increased work, domestic abuse ï¿½ how Covid lockdown was especially hard on women in India",real
VIOLENCE,"UP traderÛªs grandson rescued, abductors held after encounter",real
VIOLENCE,"No, this video does not show workers from Indiaâs ruling party attacking a Muslim",fake
ELECTION,Sena doesnÕt need certificate on Hindutva from any party: Raut,real
COVID-19,Indias active COVID caseload drops to 2% of total cases,real
MISLEADING,Fact Check: Truth behind this viral picture depicting farm distress,fake
COVID-19,"Delhi records 310 fresh coronavirus cases; tally now 7,233",real
POLITICS,"Amid Go Back Modi slogans, PM arrives in Kolkata, meets Mamata at Raj Bhavan",real
VIOLENCE,NCLT Rejects Essar Power Jharkhand Ex-Promoters' Bid To Clear Dues,real
VIOLENCE,Fact Check: Picture of Shiv Ling from Rajasthan being shared as...,fake
VIOLENCE,Unnao rape case: Accused moves apex court seeking extension of trail,real
COVID-19,Fact Check: Republican Congressman targets Obama on Iran with morphed image.Fact Check: Unmasking misleading claims around Kamala's US presidential poll campaign,fake
VIOLENCE,Fact Check: Video Of Muslims Offering Namaz Shared With False Claim,fake
POLITICS,Image Of Eid Prayers At Delhi's Feroz Shah Kotla Passed Off As Last...,fake
COVID-19,"No, Modi govt is NOT giving free laptops after re-election",fake
ELECTION,No decision yet on holding Parliament session: Parliamentary Affairs Minister Pralhad Joshi,real
COVID-19,Kerala government declares Coronavirus state calamity after 3 people test positive,real
COVID-19,JNU-Fee Hike Row: Morphed Image Of Shehla Rashid Revived,fake
TRAD,"Farm protests ï¿½sacredï¿½ but andolan jeevis have defiled movement, says Modi in Parliament",real
MISLEADING,"Fact Check: No, '9969777888' Is Not Bengaluru & Telangana Police Women .... Fact Check: No, '9969777888' Is Not Bengaluru & Telangana Police Women Helpline Number",fake
ELECTION,Congress accuses Modi govt of using its agencies after ED says Michel mentioned Mrs Gandhi,real
POLITICS,Sr pilot employed in Air India for three years suspended for fake certificates,fake
GOVERNMENT,Sambit Patra shares fake video of ex-Congress MLA & asks followers to fact-check it,fake
MISLEADING,Did Facebook launch a new balloon feature for Abhinandan? Fact Check,fake
VIOLENCE,Bengaluru law student graduates with record 18 gold medals,real
VIOLENCE,AAP distributed Ômagic blanketsÕ to differently abled? HereÕs the fact check,fake
POLITICS,Fact Check: Did Rahul Gandhi call Sushant Singh Rajput a cricketer in his condolence tweet?.Kamal Nath tweets Bangladesh?s picture to slam Shivraj Singh led MP...,fake
MISLEADING,Viral photo does not show Bharat Biotechâs VP taking first dose of COVID vaccine âCovaxinâ,fake
TERROR,"COVID-19: CICSE to conduct class 10, 12 compartment exams from Oct 6 to 9",real
TERROR,"Building Ram temple shouldnt be as complicated as Kashmir conflict, Shiv Sena tells BJP",real
MISLEADING,Fake: Viral Social Media Messages Claim RBI To Shut Down 9 Public,fake
MISLEADING,Day 2 In Politics: Photoshopped Image Of Rajinikanth Surfaces,fake
COVID-19,Only 17% of Indiaâs Rural Homes Have Piped Water. Target For 2017 Was 50%,fake
GOVERNMENT,"India Has More Anaemic, Pregnant Women Than Yechury Thinks There Are",fake
TRAD,"BJPï¿½s new heartland dilemma ï¿½ what to do with Singh, Chouhan & Raje",real
ELECTION,Modi speaks to CambodiaÛªs PM Hun Sen,real
VIOLENCE,Pulwama Aftermath: Video From Indonesia Shared With Misleading Context,fake
ELECTION,Govt issues warning to Twitter; conveys strong disapproval over map misrepresentation,real
VIOLENCE,Video from Pakistan shared as Muslim youths robbing couple in Mumbai,fake
ELECTION,"Dynastic politics democracys biggest enemy, burdens country with incompetence  PM Modi",real
ELECTION,How Gupkar alliance cracks have surfaced in small Baramulla hamlet in J&K DDC polls,real
VIOLENCE,Footage of bodies at New York funeral home circulates with misleading claim in India.This footage has circulated in reports about unattended bodies at a hospital in south India in 2013,fake
GOVERNMENT,This poster against PM Modi was not used in AMU; hereÕs...,fake
MISLEADING,Fact Check: Fake letters flood social media in poll-bound MP,fake
MISLEADING,Fact Check: PM Modi's Old Tweet Goes Viral Linking It To To Fadnavis' Resignation.Fact Check: Modi's old tweet about a friend's death goes viral linking it with Maharashtra,fake
GOVERNMENT,?Namak loyalty? of silent voters could keep Nitish Kumar afloat despite massive odds,fake
ELECTION,"ÔHindus imply to 130 crore people in countryÕ, says Mohan Bhagwat",real
GOVERNMENT,"Union Ministers Smriti Irani, Jitendra Singh fall for fake news about TN SeshanÕs death",fake
GOVERNMENT,Fact Check: Fake Quote Claiming 'Muslims Are Terrorists By Ideology' Shared As Salman Rushdie's....Fact Check: Incident Of Honor Killing Falsely Shared As 'Love Jihad'...,fake
COVID-19,No! Banks are NOT charging Rs 150 after 4 transactions on....Fact Check: Old video of PM Modi offering sweets to soldiers...,fake
POLITICS,Fact Check: Home Minister Amit Shah misquoted on the statement saying...,fake
COVID-19,"Biggest 1-day spike of over 62k cases, IndiaÛªs Coronavirus tally crosses 20 lakh-mark; deaths reach 41,585",real
VIOLENCE,SC refuses to entertain plea seeking restrictions on Amarnath Yatra amid COVID-19,real
COVID-19,"Covid-19: Maharashtra releases 7,200 prisoners to curb overcrowding",real
VIOLENCE,"National capital experiences sudden change in weather; dust storms, rain in some areas",real
TERROR,Hindu Sena activists deface Chinese embassy signboard,real
TERROR,"India rejects K-reference by China, Pak",real
POLITICS,Û÷Will never forget their sacrificeÛª: PM Modi pays tribute to those who defended democracy during Emergency,real
VIOLENCE,Our Weak Sex Ratio Helping Sports In Haryana â Government,real
GOVERNMENT,Fact Checked: Priyanka Chaturvedi didnÕt wear ÔNaMo AgainÕ suit,fake
GOVERNMENT,"Morphed ÔHinduÕ newspaper image shows Sri Lankan PM Ranil agreed to Tamil autonomy, Was it true?",fake
VIOLENCE,Video Of Two Groups Of BJP Supporters Fighting Revived With Misleading ...,fake
ELECTION,BJP wins Gangoh bypoll by wafer-thin margin,real
POLITICS,Liberhan panel had indicted BJP top guns for ÔintoleranceÕ,real
VIOLENCE,"UP: Two Dalit sisters killed, bodies dumped in pond in Fatehpur",real
ELECTION,"DMK MP, PMK criticise rail users getting ticket confirmation SMS in Hindi",real
GOVERNMENT,"Baghdadi death has nothing to do with ÔpressureÕ from Modi, viral News18 poster is fake",fake
VIOLENCE,"Two months after arrest, Allahabad HC grants bail to journalist Prashant Kanojia",real
GOVERNMENT,"No, Sikh man injured during farmersâ protest is not Captain PPS Dhillon (Retd.)",fake
VIOLENCE,Arnab shifted to Taloja jail for using mobile phone in custody,real
GOVERNMENT,"DonÕt believe this post attributed to Rajnikant, hereÕs the fact check!",fake
POLITICS,Fact Check: Hindutva Activists Didn't Protest Against Jinnah's...,fake
VIOLENCE,Fact check: Old video of scuffle from West Bengal shared incorrectly...,fake
COVID-19,"AIIMS sanitation chief dies of COVID, never missed a day of duty",real
POLITICS,Ship reappears in the Bermuda Triangle 90 years after being lost?...,fake
GOVERNMENT,Did Aamir Khan meet Turkish Prez after he spoke against India...,fake
VIOLENCE,Set Of Old Images Of Women Drinking Beer Revived With False BJP Link,fake
ELECTION,"Pawar visits Uddhav, sparks rumours of strains in coalition",real
GOVERNMENT,Did people protest against PM Modi in Saudi Arabia? Heres the...,fake
GOVERNMENT,Fake quote ascribed to Sambit Patra on farmersÕ agitation circulates on social media,fake
GOVERNMENT,"Fact Check: No, this picture of Narendra Modi is not with the staff of Prime Minister?s Office. Fact Check: No, PM Modi is not the only Indian prime minister to get standing ovation in US Congress",fake
VIOLENCE,Old photo of Lucknow cop falsely shared as Delhi police brutality,fake
POLITICS,"Citizenship law stir: Foreign tourists anxious, Indians prefer to go abroad",real
POLITICS,Fact Check: Banks to seek religious details for KYC? Finance Ministry...,fake
COVID-19,"At 1.5%, fatality rate lowest since March 22",real
POLITICS,This advertisement by Delhi Govt about providing aid to only Muslims...,fake
POLITICS,Almost Half Of Pregnancies In India Were Mistimed Or Unwanted,fake
POLITICS,"PM Modi modifies Shastris Jai Jawan, Jai Kisan slogan to include Jai Anusandhan",real
TERROR,"Four killed as building collapses in DelhiÕs Bhajanpura area, rescue work underway",real
MISLEADING,"No, this picture of wall full of air conditioners is not...",fake
POLITICS,Judges are seen as soft targetsÛ? victims of juicy gossip: Justice Ramana,real
TRAD,"Nitish Kumar condemns Pragya Thakurï¿½s Godse remark, says BJP must consider expelling her",real
TRAD,JNU student leader Umar Khalid escapes unhurt after heï¿½s shot at,real
VIOLENCE,Viral video of solar panel vandalisation resurfaces accusing Congress party workers,fake
ELECTION,ÔAam Aadmi Party is now a Khas Aadmi PartyÕ: Alka Lamba resigns from AAP,real
ELECTION,Opposition parties boycott Lok Sabha in solidarity with suspended RS MPs,real
VIOLENCE,Old photo of 2018 UP murder victim shared as Badaun rape victim,fake
POLITICS,"No, these photos do not show workers from the All India Trinamool Congress demolishing a statue of a scholar in Kolkata in 2019.No, these photos do not show attacks on Hindus by Muslims in the Indian state of West Bengal in 2019",fake
VIOLENCE,Amitabh Bachchan Visits Haji Ali After Recovering From COVID-19?Not....Video Of Lathi-charge On Hindu Jagran Manch Resurfaces As Attack On...,fake
GOVERNMENT,No! Mamata Banerjees picture wasnt clicked after Bangladeshs defeat in CWC19,fake
POLITICS,Tayla Harris: 'I would be happy to go through it all again but I'd rather not',real
GOVERNMENT,Internet services suspended in 21 districts of UP as cops brace for fresh anti-CAA protests,real
VIOLENCE,Gory Staged Video Being Shared As Rohingya Slaughtering Hindus,fake
VIOLENCE,Fact Checked: The video of Diwali fire accident in Khammam is...,fake
POLITICS,"Distorted narrative, wont be pressured: Govt officials on Jaishankars cancelled US meet",real
COVID-19,"COVID-19: Maharashtra records highest one-day count of 14,492 cases",real
POLITICS,"No, this photo does not show an Indian political activist making a speech in front of a map showing Indian states redrawn as part of Pakistan",fake
